m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
2750,100,1.84,0.52,8.862952153634518,0.99,0.99
2800,100,1.87,0.52,8.943373123414537,0.96,0.96
2850,100,1.9,0.52,9.008747080823701,0.94,0.94
2900,100,1.93,0.53,9.061686329170014,0.92,0.92
2950,100,1.95,0.53,9.105611767210553,0.9,0.9
3000,100,1.98,0.53,9.141200082326547,0.88,0.88
3050,100,2.01,0.54,9.168743271018815,0.86,0.86
3100,100,2.03,0.54,9.189012446100815,0.84,0.84
3150,100,2.06,0.55,9.2023732057815,0.83,0.83
3200,100,2.08,0.55,9.20915728727309,0.81,0.81
3250,100,2.11,0.55,9.21030451621626,0.79,0.79
3300,100,2.14,0.56,9.206493472510523,0.77,0.77
3350,100,2.16,0.56,9.198592175660625,0.76,0.76
3400,100,2.19,0.56,9.187257566399646,0.74,0.74
3450,100,2.21,0.56,9.17276839274732,0.73,0.73
3500,100,2.23,0.57,9.155855934513458,0.71,0.71
3550,100,2.26,0.57,9.136586782827202,0.7,0.7
3600,100,2.29,0.57,9.115518000720565,0.68,0.68
3650,100,2.31,0.58,9.092957675772935,0.67,0.67
3700,100,2.3392396250442404,0.58,9.068705834101253,0.65,0.65
3750,100,2.363137934742166,0.58,9.042742161968219,0.64,0.64
3800,100,2.386855911903836,0.59,9.014956052832606,0.63,0.63
3850,100,2.41039611826863,0.59,8.985243622530307,0.61,0.61
3900,100,2.4337614104221124,0.59,8.95384280167958,0.6,0.6
3950,100,2.4569546230839077,0.6,8.921333509974287,0.59,0.59
4000,100,2.479978660934947,0.6,8.88807878294355,0.58,0.58
4050,100,2.502836574416676,0.6,8.854295823456768,0.56,0.56
4100,100,2.5255314213546733,0.61,8.820089821654001,0.55,0.55
4150,100,2.548066242773936,0.61,8.785502425939864,0.54,0.54
4200,100,2.570444205384769,0.61,8.750643818943036,0.53,0.53
4250,100,2.592668485901825,0.61,8.715543799033517,0.52,0.52
4300,100,2.6147422865204692,0.62,8.68012723847549,0.51,0.51
4350,100,2.6367171032662893,0.62,8.644510364202263,0.5,0.5
4400,100,2.658508131232349,0.62,8.608789140148046,0.49,0.49
4450,100,2.680159195235658,0.63,8.57315252387207,0.48,0.48
4500,100,2.7016733965354867,0.63,8.537619716765496,0.47,0.47
4550,100,2.7230540135553,0.63,8.502178849782567,0.46,0.46
4600,100,2.7443043388346,0.63,8.466779961764258,0.45,0.45
4650,100,2.765429152207572,0.64,8.43147711780212,0.44,0.44
4700,100,2.7864379849286913,0.64,8.396255704665863,0.43,0.43
4750,100,2.80732488841407,0.64,8.361047096265851,0.42,0.42
4800,100,2.828092563319531,0.65,8.325780242399444,0.41,0.41
4850,100,2.8487437514144576,0.65,8.29050201591373,0.4,0.4
4900,100,2.8692813890518485,0.65,8.255245990113167,0.39,0.39
4950,100,2.889708871292085,0.66,8.220046816904926,0.38,0.38
5000,100,2.9102957467618733,0.66,8.184945766918913,0.37,0.37
5050,100,2.930486969144261,0.66,8.149950196052917,0.36,0.36
5100,100,2.9505693203571397,0.66,8.115035674032896,0.35,0.35
5150,100,2.9704037256636955,0.67,8.080149945651318,0.35,0.35
5200,100,2.990370317777302,0.67,8.045246704404276,0.34,0.34
5250,100,3.010340580197936,0.67,8.010322101434538,0.33,0.33
5300,100,3.0312186504795515,0.68,7.975429612280312,0.32,0.32
5350,100,3.0483495385626713,0.68,7.940633684058326,0.31,0.31
5400,100,3.0684599487464297,0.68,7.90603167295052,0.31,0.31
5450,100,3.088034878246788,0.68,7.871729760821008,0.3,0.3
5500,100,3.1074537267714297,0.69,7.837827436442098,0.29,0.29
5550,100,3.126766424084498,0.69,7.804347876189433,0.28,0.28
5600,100,3.1459886011219655,0.69,7.7712358712985825,0.28,0.28
5650,100,3.165127952459145,0.7,7.738456120188497,0.27,0.27
5700,100,3.184174868412779,0.7,7.7059206589979965,0.26,0.26
5750,100,3.203175853729461,0.7,7.673527596835913,0.25,0.25
5800,100,3.2220907875510023,0.7,7.641291327664779,0.25,0.25
5850,100,3.240936504650616,0.71,7.609151598891742,0.24,0.24
5900,100,3.2597153333146642,0.71,7.577154868913352,0.23,0.23
5950,100,3.278466203794736,0.71,7.545342226680531,0.23,0.23
6000,100,3.2971239048997094,0.72,7.513751212890121,0.22,0.22
6050,100,3.3157199334571974,0.72,7.482387258452879,0.21,0.21
6100,100,3.3342559532422147,0.72,7.451266820068988,0.21,0.21
6150,100,3.352733550848124,0.72,7.420397272627245,0.2,0.2
6200,100,3.3711543530053825,0.73,7.389792497300722,0.19,0.19
6250,100,3.389519878808111,0.73,7.3595258116360736,0.19,0.19
6300,100,3.407831511420502,0.73,7.329625765458938,0.18,0.18
6350,100,3.4260907813207737,0.74,7.30011304090566,0.18,0.18
6400,100,3.444299129883391,0.74,7.270944285106372,0.17,0.17
6450,100,3.4624578744864407,0.74,7.242104165469904,0.16,0.16
6500,100,3.480568449215369,0.74,7.213577451740526,0.16,0.16
6550,100,3.4986320300684066,0.75,7.1853833384366705,0.15,0.15
6600,100,3.5166499295429428,0.75,7.157474848499494,0.15,0.15
6650,100,3.5346233071120716,0.75,7.129787873459508,0.14,0.14
6700,100,3.552553371829669,0.75,7.102306580697672,0.14,0.14
6750,100,3.570441256051902,0.76,7.074990309939517,0.13,0.13
6800,100,3.5882881275386698,0.76,7.047861195520468,0.13,0.13
6850,100,3.6093071714058693,0.76,7.02099043112174,0.12,0.12
6900,100,3.6238502349236605,0.77,6.994319196777398,0.12,0.12
6950,100,3.6415847465351026,0.77,6.967833485936313,0.11,0.11
7000,100,3.659281263967217,0.77,6.9414904614662225,0.11,0.11
7050,100,3.676940363759037,0.77,6.91528638128253,0.11,0.11
7100,100,3.6945624094488716,0.78,6.889236916186466,0.1,0.1
7150,100,3.712146944599725,0.78,6.863316297455663,0.1,0.1
7200,100,3.7296922567597504,0.78,6.83753940880937,0.09,0.09
7250,100,3.747190631435547,0.78,6.811903935359484,0.09,0.09
7300,100,3.764593570390075,0.79,6.786431934005225,0.09,0.09
7350,100,3.773718145439399,0.79,6.761123943088872,0.08,0.08
