m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
1.0,1.0,0.0,0.0,0.02,1.03,1.93
1.1,1.0,0.0,0.0,0.02,1.09,2.05
1.2000000000000002,1.0,0.0,0.0,0.02,1.14,2.16
1.3000000000000003,1.0,0.0,0.0,0.02,1.19,2.2813380820903557
1.4000000000000004,1.0,0.0,0.0,0.02,1.23,2.3926004496046356
1.5000000000000004,1.0,0.0,0.0,0.02,1.28,2.50210972117078
1.6000000000000005,1.0,0.0,0.0,0.02,1.32,2.6100882383707003
1.7000000000000006,1.0,0.0,0.0,0.02,1.37,2.7167240383297058
1.8000000000000007,1.0,0.0,0.0,0.03,1.41,2.8221777717093044
1.9000000000000008,1.0,0.0,0.0,0.03,1.45,2.9265879674958337
2.0,1.0,0.0,0.0,0.03,1.49,3.0300749484455625
3.0,1.0,0.0,0.0,0.03,1.85,4.032045502128333
4.0,1.0,0.0,0.0,0.04,2.18,5.004644889375307
5.0,1.0,0.0,0.0,0.04,2.4884782852034295,5.964837037633049
6.0,1.0,0.0,0.0,0.04,2.774872840382762,6.914783131011434
7.0,1.0,0.0,0.0,0.04,3.04890764591089,7.853106552608972
8.0,1.0,0.0,0.0,0.05,3.312868295022746,8.777759668593118
9.0,1.0,0.0,0.0,0.05,3.5674445842316294,9.681501981926694
10.0,1.0,0.0,0.0,0.05,3.8136677981799525,10.55887778950153
11.0,1.0,0.0,0.0,0.05,4.052140406162081,11.40289354467725
12.0,1.0,0.0,0.0,0.06,4.283253123190827,12.206454627731334
13.0,1.0,0.0,0.01,0.06,4.508251215351208,12.963354162411227
14.0,1.0,0.0,0.01,0.06,4.725633353560526,13.670149451594265
15.0,1.0,0.0,0.01,0.06,4.936049347905129,14.324434949431014
16.0,1.0,0.0,0.01,0.06,5.139553414437907,14.925718114028173
17.0,1.0,0.0,0.01,0.06,5.33606012555361,15.472843733462435
18.0,1.0,0.0,0.01,0.06,5.5254543927059965,15.964580433853197
19.0,1.0,0.0,0.01,0.07,5.707655612810627,16.399198316743018
20.0,1.0,0.0,0.01,0.07,5.882489061323646,16.774668221621972
21.0,1.0,0.0,0.01,0.07,6.049803696022342,17.09140594023307
22.0,1.0,0.0,0.01,0.07,6.209609613570733,17.348397064595108
23.0,1.0,0.0,0.01,0.07,6.361893647683437,17.548541206965183
24.0,1.0,0.0,0.01,0.07,6.506782049953152,17.695721470893375
25.0,1.0,0.0,0.01,0.07,6.644417773324634,17.79406021133424
26.0,1.0,0.0,0.01,0.07,6.775081058423761,17.84954428928754
27.0,1.0,0.0,0.01,0.07,6.899107180797291,17.86856504798858
28.0,1.0,0.0,0.01,0.08,7.016817743932287,17.85590720843796
29.0,1.0,0.0,0.01,0.08,7.128473614630767,17.816890508417092
30.0,1.0,0.0,0.01,0.08,7.234567174331507,17.75588111338345
31.0,1.0,0.0,0.01,0.08,7.335272984312661,17.676924441100766
32.0,1.0,0.0,0.01,0.08,7.430794450182029,17.585699454350536
33.0,1.0,0.0,0.01,0.08,7.521324885925813,17.48196022742447
34.0,1.0,0.0,0.01,0.08,7.606876473562857,17.366214167629096
35.0,1.0,0.0,0.01,0.08,7.68723521911783,17.241426027726074
36.0,1.0,0.0,0.01,0.08,7.762973101634718,17.109365007613306
37.0,1.0,0.0,0.01,0.08,7.833762578816512,16.97164356661533
38.0,1.0,0.0,0.01,0.08,7.899550252904392,16.829414642812146
39.0,1.0,0.0,0.01,0.09,7.960267134696861,16.684615423475883
40.0,1.0,0.0,0.01,0.09,8.01623645118499,16.53713181382964
41.0,1.0,0.0,0.01,0.09,8.066881693995796,16.387963148678047
42.0,1.0,0.0,0.01,0.09,8.112416968294356,16.237947913591693
43.0,1.0,0.0,0.01,0.09,8.152810121508136,16.087462149862116
44.0,1.0,0.0,0.01,0.09,8.188079237111399,15.93698990664727
45.0,1.0,0.0,0.01,0.09,8.218243625748311,15.786917985091717
46.0,1.0,0.0,0.01,0.09,8.243170980034453,15.637524877127586
47.0,1.0,0.0,0.01,0.09,8.263451956104868,15.489141689064086
48.0,1.0,0.0,0.01,0.09,8.279075415383257,15.342059158950127
49.0,1.0,0.0,0.01,0.09,8.29004505989672,15.196103473145383
50.0,1.0,0.0,0.01,0.09,8.297129393181315,15.051491189315547
51.0,1.0,0.0,0.01,0.09,8.299998117771882,14.909089863823368
52.0,1.0,0.0,0.01,0.09,8.299563209824562,14.768237983644974
53.0,1.0,0.0,0.01,0.1,8.295492742657682,14.629554917923567
54.0,1.0,0.0,0.01,0.1,8.288265060101047,14.492739119544142
55.0,1.0,0.0,0.01,0.1,8.278522808386148,14.358646666867864
56.0,1.0,0.0,0.01,0.1,8.266107413462962,14.226372608679794
57.0,1.0,0.0,0.01,0.1,8.251337059341381,14.095460951657548
58.0,1.0,0.0,0.01,0.1,8.234544900305977,13.966984226985783
59.0,1.0,0.0,0.01,0.1,8.215886892591127,13.840187938694335
60.0,1.0,0.0,0.01,0.1,8.195560985489646,13.715196715244655
61.0,1.0,0.0,0.01,0.1,8.173759366309207,13.592293057049183
62.0,1.0,0.0,0.01,0.1,8.150649529837185,13.470809657165681
63.0,1.0,0.0,0.01,0.1,8.126398229603987,13.35183951592231
64.0,1.0,0.0,0.01,0.1,8.101405726801607,13.23428381287164
65.0,1.0,0.0,0.01,0.1,8.076521944517603,13.119105240937488
66.0,1.0,0.0,0.01,0.1,8.051557291256158,13.005366363945008
67.0,1.0,0.0,0.01,0.1,8.025836449874106,12.89390765003472
68.0,1.0,0.0,0.01,0.1,7.998928445900795,12.783867932632333
69.0,1.0,0.0,0.01,0.1,7.97084432033837,12.676060969488217
70.0,1.0,0.0,0.01,0.1,7.942109702883226,12.569592597463828
71.0,1.0,0.0,0.01,0.11,7.912579735732033,12.465342239832248
72.0,1.0,0.0,0.01,0.11,7.882470727230445,12.362337976862447
73.0,1.0,0.0,0.01,0.11,7.851736429916554,12.26155726698988
74.0,1.0,0.0,0.01,0.11,7.820754806619556,12.16199883009465
75.0,1.0,0.0,0.01,0.11,7.789451695392689,12.064232817016949
76.0,1.0,0.0,0.01,0.11,7.757906593163871,11.967981328933089
77.0,1.0,0.0,0.01,0.11,7.725952626946399,11.873124772476277
78.0,1.0,0.0,0.01,0.11,7.694090532029513,11.780235731502644
79.0,1.0,0.0,0.01,0.11,7.662053457777153,11.688552717255561
80.0,1.0,0.0,0.01,0.11,7.629801191777306,11.598469132722082
81.0,1.0,0.0,0.01,0.11,7.5976145904071855,11.509694330717393
82.0,1.0,0.0,0.01,0.11,7.565231848730367,11.422196591487749
83.0,1.0,0.0,0.01,0.11,7.533051905077447,11.33656754719243
84.0,1.0,0.0,0.01,0.11,7.500846115004926,11.2518923966185
85.0,1.0,0.0,0.01,0.11,7.468528379447872,11.168444299153302
86.0,1.0,0.0,0.01,0.11,7.436417905734181,11.086688935262377
87.0,1.0,0.0,0.01,0.11,7.404173113822332,11.005956205869131
88.0,1.0,0.0,0.01,0.11,7.372287006066406,10.92637621362763
89.0,1.0,0.0,0.01,0.11,7.340265862432156,10.84827053182121
90.0,1.0,0.0,0.01,0.11,7.308576511521855,10.771181599616057
91.0,1.0,0.0,0.01,0.12,7.276851118799876,10.695159701017387
92.0,1.0,0.0,0.01,0.12,7.245403299027025,10.620548661203635
93.0,1.0,0.0,0.01,0.12,7.21397876176559,10.546877446678803
94.0,1.0,0.0,0.01,0.12,7.182825444089056,10.474141368267933
95.0,1.0,0.0,0.01,0.12,7.151702652018501,10.402912436455559
96.0,1.0,0.0,0.02,0.12,7.120910231735919,10.332376893197164
97.0,1.0,0.0,0.02,0.12,7.090127227229769,10.262760553420497
98.0,1.0,0.0,0.02,0.12,7.059745649112666,10.194582848250008
99.0,1.0,0.0,0.02,0.12,7.029329406459701,10.127050031007087
100.0,1.0,0.0,0.02,0.12,6.999364599492059,10.06054948518265
101.0,1.0,0.0,0.02,0.12,6.969413922593782,9.994966867103123
102.0,1.0,0.0,0.02,0.12,6.939818332195203,9.930414434158479
103.0,1.0,0.0,0.02,0.12,6.910290583616393,9.866673359275014
104.0,1.0,0.0,0.02,0.12,6.881044280446091,9.80364311988976
105.0,1.0,0.0,0.02,0.12,6.852065924746976,9.74188935830622
106.0,1.0,0.0,0.02,0.12,6.823368353733439,9.680693935114192
107.0,1.0,0.0,0.02,0.12,6.79534989215669,9.620384585977492
108.0,1.0,0.0,0.02,0.12,6.767568976211462,9.560735386016693
109.0,1.0,0.0,0.02,0.12,6.740237360406444,9.502273211513314
110.0,1.0,0.0,0.02,0.12,6.71307944980949,9.444263342666506
111.0,1.0,0.0,0.02,0.12,6.686066725628001,9.38711109085269
112.0,1.0,0.0,0.02,0.12,6.6594616006552565,9.330572913849867
113.0,1.0,0.0,0.02,0.12,6.632848978678316,9.275129529381932
114.0,1.0,0.0,0.02,0.12,6.606462359025282,9.220086430840125
115.0,1.0,0.0,0.02,0.13,6.5801468947274495,9.16584981422858
116.0,1.0,0.0,0.02,0.13,6.5539216524907875,9.112157321936106
117.0,1.0,0.0,0.02,0.13,6.5281093556877545,9.059507785160104
118.0,1.0,0.0,0.02,0.13,6.502251466254675,9.007225648478299
119.0,1.0,0.0,0.02,0.13,6.476525466387389,8.955683779640495
120.0,1.0,0.0,0.02,0.13,6.451197674649683,8.90460998154267
1.1,1.1,0.0,0.0,0.02,1.14,2.18
1.2000000000000002,1.1,0.0,0.0,0.02,1.2,2.3089946742546066
1.3000000000000003,1.1,0.0,0.0,0.02,1.25,2.4337097444270848
1.4000000000000004,1.1,0.0,0.0,0.02,1.3,2.5565041909326425
1.5000000000000004,1.1,0.0,0.0,0.02,1.35,2.6776447096844223
1.6000000000000005,1.1,0.0,0.0,0.02,1.4,2.797354740393495
1.7000000000000006,1.1,0.0,0.0,0.03,1.44,2.9158226461662395
1.8000000000000007,1.1,0.0,0.0,0.03,1.49,3.033210246769405
1.9000000000000008,1.1,0.0,0.0,0.03,1.53,3.149656732043823
2.0,1.1,0.0,0.0,0.03,1.58,3.265282311828329
3.0,1.1,0.0,0.0,0.03,1.98,4.394205190483833
