m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
104.0,1.0,0.0,0.01,0.08,4.651587573044795,7.5368306808100165
105.0,1.0,0.0,0.01,0.08,4.643190147857907,7.498096259782358
106.0,1.0,0.0,0.01,0.08,4.634745631283562,7.459422380787198
107.0,1.0,0.0,0.01,0.08,4.626051602218331,7.421003302315271
108.0,1.0,0.0,0.01,0.08,4.617225785299996,7.383244755805517
109.0,1.0,0.0,0.01,0.08,4.608009039541579,7.345546217801421
110.0,1.0,0.0,0.01,0.08,4.598704938087556,7.30811104859935
111.0,1.0,0.0,0.01,0.08,4.589008185215727,7.271326828085144
112.0,1.0,0.0,0.01,0.08,4.579252676869403,7.234611297673882
113.0,1.0,0.0,0.01,0.08,4.56916522895033,7.198155917324694
114.0,1.0,0.0,0.01,0.08,4.559054229264717,7.162345028361093
115.0,1.0,0.0,0.01,0.08,4.548660313678758,7.126600030437266
116.0,1.0,0.0,0.01,0.08,4.538279498997003,7.091126960550754
117.0,1.0,0.0,0.01,0.08,4.527640645084358,7.056248789199229
118.0,1.0,0.0,0.01,0.08,4.517053692157866,7.0214855727639645
119.0,1.0,0.0,0.01,0.08,4.506221299459628,6.987060541830035
120.0,1.0,0.0,0.01,0.08,4.495470943158955,6.9529438342407115
1.1,1.1,0.0,0.0,0.01,0.7,1.23
1.2000000000000002,1.1,0.0,0.0,0.01,0.73,1.29
1.3000000000000003,1.1,0.0,0.0,0.01,0.76,1.34
1.4000000000000004,1.1,0.0,0.0,0.01,0.79,1.4
1.5000000000000004,1.1,0.0,0.0,0.01,0.81,1.45
1.6000000000000005,1.1,0.0,0.0,0.01,0.84,1.51
1.7000000000000006,1.1,0.0,0.0,0.02,0.86,1.56
1.8000000000000007,1.1,0.0,0.0,0.02,0.89,1.61
1.9000000000000008,1.1,0.0,0.0,0.02,0.91,1.66
2.0,1.1,0.0,0.0,0.02,0.93,1.71
3.0,1.1,0.0,0.0,0.02,1.13,2.157636040487595
4.0,1.1,0.0,0.0,0.02,1.3,2.5618065774168595
5.0,1.1,0.0,0.0,0.03,1.45,2.9415525313888673
6.0,1.1,0.0,0.0,0.03,1.59,3.3050670679695076
7.0,1.1,0.0,0.0,0.03,1.72,3.6565395490555415
8.0,1.1,0.0,0.0,0.03,1.85,3.9979978271663006
9.0,1.1,0.0,0.0,0.03,1.9682826773122652,4.330841042544277
10.0,1.1,0.0,0.0,0.03,2.080760765061995,4.65592033028643
11.0,1.1,0.0,0.0,0.04,2.1888661725906577,4.973828561341011
12.0,1.1,0.0,0.0,0.04,2.2930625803136317,5.2851289878073615
13.0,1.1,0.0,0.0,0.04,2.3937714093277855,5.5889806733299325
14.0,1.1,0.0,0.0,0.04,2.4912981677361987,5.885653920097996
15.0,1.1,0.0,0.0,0.04,2.585880638213057,6.174845655280215
16.0,1.1,0.0,0.0,0.04,2.6777378385596364,6.456272498713691
17.0,1.1,0.0,0.0,0.04,2.7670182968960946,6.729469753664977
18.0,1.1,0.0,0.0,0.04,2.854272579662184,6.993950562126975
19.0,1.1,0.0,0.0,0.04,2.938983305529287,7.249309222875691
20.0,1.1,0.0,0.0,0.05,3.021358874906068,7.4953166923231445
21.0,1.1,0.0,0.0,0.05,3.101565298062924,7.731493489080947
22.0,1.1,0.0,0.0,0.05,3.1796738019647557,7.957825857820163
23.0,1.1,0.0,0.0,0.05,3.2557360539706464,8.174090263391747
24.0,1.1,0.0,0.0,0.05,3.3297725264320177,8.380385577594158
25.0,1.1,0.0,0.0,0.05,3.4018387198731674,8.576812205789125
26.0,1.1,0.0,0.0,0.05,3.471947267022786,8.763302407517182
27.0,1.1,0.0,0.0,0.05,3.5401344200396485,8.939903385344083
28.0,1.1,0.0,0.0,0.05,3.6063841510329415,9.106510049436848
29.0,1.1,0.0,0.0,0.05,3.670697003778396,9.262931611656553
30.0,1.1,0.0,0.0,0.05,3.733138946104538,9.409167720135121
31.0,1.1,0.0,0.0,0.05,3.7936753800476097,9.544928206978291
32.0,1.1,0.0,0.0,0.05,3.852349238428808,9.670191709778555
33.0,1.1,0.0,0.0,0.05,3.9091759692841497,9.784780617449051
34.0,1.1,0.0,0.0,0.05,3.96418072419973,9.888667855335298
35.0,1.1,0.0,0.0,0.06,4.0173981953750655,9.981598056766344
