m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
1.0,1.0,0.0,0.0,0.01,0.79,1.41
1.1,1.0,0.0,0.0,0.01,0.83,1.48
1.2000000000000002,1.0,0.0,0.0,0.02,0.86,1.56
1.3000000000000003,1.0,0.0,0.0,0.02,0.9,1.63
1.4000000000000004,1.0,0.0,0.0,0.02,0.93,1.7
1.5000000000000004,1.0,0.0,0.0,0.02,0.96,1.77
1.6000000000000005,1.0,0.0,0.0,0.02,0.99,1.84
1.7000000000000006,1.0,0.0,0.0,0.02,1.02,1.91
1.8000000000000007,1.0,0.0,0.0,0.02,1.05,1.97
1.9000000000000008,1.0,0.0,0.0,0.02,1.08,2.04
2.0,1.0,0.0,0.0,0.02,1.11,2.1044885888544265
3.0,1.0,0.0,0.0,0.02,1.36,2.697071108102095
4.0,1.0,0.0,0.0,0.03,1.57,3.246217293599303
5.0,1.0,0.0,0.0,0.03,1.76,3.771641771480421
6.0,1.0,0.0,0.0,0.03,1.94,4.28141361455396
7.0,1.0,0.0,0.0,0.03,2.116239248438628,4.778767738415352
8.0,1.0,0.0,0.0,0.04,2.2771479185142436,5.2653310412196905
9.0,1.0,0.0,0.0,0.04,2.4314102451319903,5.741885085056644
10.0,1.0,0.0,0.0,0.04,2.5797301666793864,6.209276798337332
11.0,1.0,0.0,0.0,0.04,2.722759018461998,6.665900046498305
12.0,1.0,0.0,0.0,0.04,2.861046345972192,7.111452396063668
13.0,1.0,0.0,0.0,0.04,2.994989258186818,7.545062338447428
14.0,1.0,0.0,0.0,0.05,3.1248919741730856,7.965448491714665
15.0,1.0,0.0,0.0,0.05,3.251014251560569,8.371359849295013
16.0,1.0,0.0,0.0,0.05,3.3741028611872723,8.761475204453815
17.0,1.0,0.0,0.0,0.05,3.4933769814876894,9.13477417415015
18.0,1.0,0.0,0.0,0.05,3.609222146364428,9.490476213993741
19.0,1.0,0.0,0.0,0.05,3.7218125049817696,9.827958728902596
20.0,1.0,0.0,0.0,0.05,3.8311975411743866,10.147176690910323
21.0,1.0,0.0,0.0,0.05,3.937425183883557,10.448019459564005
